1,1,0.41,0.366,0.612,0.733,3,0
1,2,0.404,0.376,0.614,0.727,3,0
1,3,0.402,0.366,0.617,0.739,3,0
1,4,0.399,0.364,0.625,0.738,3,0
1,5,0.409,0.364,0.606,0.733,3,0
1,6,0.4,0.388,0.626,0.726,3,0
1,7,0.394,0.381,0.631,0.724,3,0
1,8,0.399,0.383,0.619,0.727,3,0
1,9,0.398,0.374,0.619,0.726,3,0
1,10,0.395,0.384,0.632,0.732,3,0
1,11,0.395,0.37,0.624,0.724,3,0
1,12,0.4,0.381,0.621,0.724,3,0
1,13,0.401,0.375,0.627,0.723,3,0
1,14,0.395,0.394,0.623,0.729,3,0
1,15,0.389,0.383,0.616,0.725,3,0
1,16,0.391,0.36,0.619,0.73,3,0
1,17,0.394,0.372,0.617,0.731,3,0
1,18,0.396,0.376,0.623,0.733,3,0
1,19,0.396,0.376,0.619,0.719,3,0
1,20,0.389,0.38,0.619,0.719,3,0
1,21,0.396,0.378,0.623,0.723,3,0
1,22,0.395,0.376,0.621,0.727,3,0
1,23,0.396,0.378,0.616,0.72,3,0
1,24,0.398,0.368,0.607,0.717,3,0
1,25,0.393,0.375,0.61,0.717,3,0
1,26,0.392,0.375,0.615,0.715,3,0
1,27,0.395,0.38,0.619,0.718,3,0
1,28,0.396,0.378,0.617,0.72,3,0
1,29,0.393,0.384,0.623,0.724,3,0
1,30,0.389,0.372,0.64,0.725,3,0
1,31,0.39,0.368,0.629,0.718,3,0
1,32,0.394,0.364,0.621,0.721,3,0
2,1,0.396,0.354,0.607,0.724,3,0
2,2,0.396,0.366,0.616,0.723,3,0
2,3,0.401,0.383,0.598,0.72,3,0
2,4,0.395,0.386,0.64,0.723,3,0
2,5,0.404,0.389,0.642,0.718,3,0
2,6,0.398,0.392,0.637,0.735,3,0
2,7,0.401,0.395,0.608,0.724,3,0
2,8,0.401,0.401,0.598,0.727,3,0
2,9,0.401,0.389,0.6,0.749,3,0
2,10,0.404,0.389,0.609,0.737,3,0
2,11,0.401,0.362,0.612,0.743,3,0
2,12,0.395,0.395,0.6,0.731,3,0
2,13,0.403,0.389,0.611,0.737,3,0
2,14,0.401,0.4,0.594,0.738,3,0
2,15,0.395,0.394,0.596,0.727,3,0
2,16,0.399,0.386,0.586,0.73,3,0
2,17,0.395,0.386,0.588,0.733,3,0
2,18,0.393,0.389,0.588,0.731,3,0
2,19,0.395,0.388,0.599,0.732,3,0
2,20,0.396,0.395,0.598,0.747,3,0
2,21,0.383,0.398,0.601,0.725,3,0
2,22,0.393,0.402,0.604,0.721,3,0
